Model1 = ../approaches/llm_moral-values/output/definition-20/google-gemma-2-9b-it-gated_Presence-test.tsv
Model1 Threshold = 0.5
Model2 = ../approaches/ensembles/llm/all/fixed-hard-champion-test.tsv
Model2 Threshold = 0.5

Model1 Macro-F1 = 0.23811
Model2 Macro-F1 = 0.27719

ΔF1 one-sided lower 95% bound = 0.0335
one-sided p(Model2>Model1) = 0.0000 -> significant at α=0.05

Per-label McNemar (FDR-corrected): label_index, p_adj, significant
Self-direction: thought, 0.3167, False
Self-direction: action, 0.0000, True
Stimulation, 0.0000, True
Hedonism, 0.0114, True
Achievement, 0.0000, True
Power: dominance, 0.0000, True
Power: resources, 0.0000, True
Face, 0.0000, True
Security: personal, 0.0000, True
Security: societal, 0.0000, True
Tradition, 0.0002, True
Conformity: rules, 0.0000, True
Conformity: interpersonal, 0.5938, False
Humility, 1.0000, False
Benevolence: caring, 0.0001, True
Benevolence: dependability, 0.0000, True
Universalism: concern, 1.0000, False
Universalism: nature, 0.3167, False
Universalism: tolerance, 1.0000, False
