Model1 = ../approaches/llm_moral-values/output/qlora-direct-lr-2e-4/google-gemma-2-9b-it-test.tsv
Model1 Threshold = 0.5
Model2 = ../approaches/llm_moral-values/output/definition-20/google-gemma-2-9b-it-gated_Presence-test.tsv
Model2 Threshold = 0.5

Model1 Macro-F1 = 0.23631
Model2 Macro-F1 = 0.23811

ΔF1 one-sided lower 95% bound = -0.0098
one-sided p(Model2>Model1) = 0.3860 -> not significant at α=0.05

Per-label McNemar (FDR-corrected): label_index, p_adj, significant
Self-direction: thought, 0.0000, True
Self-direction: action, 0.0000, True
Stimulation, 0.0000, True
Hedonism, 0.0145, True
Achievement, 0.0000, True
Power: dominance, 0.2921, False
Power: resources, 0.0290, True
Face, 0.6878, False
Security: personal, 0.0000, True
Security: societal, 0.0005, True
Tradition, 0.0000, True
Conformity: rules, 0.0404, True
Conformity: interpersonal, 0.0000, True
Humility, 1.0000, False
Benevolence: caring, 0.0000, True
Benevolence: dependability, 0.0000, True
Universalism: concern, 0.0000, True
Universalism: nature, 0.0000, True
Universalism: tolerance, 0.0000, True
