Model1 = ../approaches/ensembles/llm/all/fixed-hard-champion-test.tsv
Model1 Threshold = 0.5
Model2 = ../approaches/moral-values/output/direct_champion-tuned-soft-champion-test.tsv
Model2 Threshold = 0.29

Model1 Macro-F1 = 0.27719
Model2 Macro-F1 = 0.33187

ΔF1 one-sided lower 95% bound = 0.0451
one-sided p(Model2>Model1) = 0.0000 -> significant at α=0.05

Per-label McNemar (FDR-corrected): label_index, p_adj, significant
Self-direction: thought, 0.2369, False
Self-direction: action, 1.0000, False
Stimulation, 0.0019, True
Hedonism, 0.7968, False
Achievement, 0.0000, True
Power: dominance, 0.0000, True
Power: resources, 0.6749, False
Face, 0.9308, False
Security: personal, 0.0064, True
Security: societal, 0.0000, True
Tradition, 0.0006, True
Conformity: rules, 0.0300, True
Conformity: interpersonal, 0.2827, False
Humility, 1.0000, False
Benevolence: caring, 0.0002, True
Benevolence: dependability, 0.0000, True
Universalism: concern, 0.0744, False
Universalism: nature, 0.0354, True
Universalism: tolerance, 0.9700, False
