Model1 = ../approaches/llm_moral-values/output/definition/google-gemma-2-9b-it-test.tsv
Model1 Threshold = 0.5
Model2 = ../approaches/llm_moral-values/output/definition/google-gemma-2-9b-it-gated_Presence-test.tsv
Model2 Threshold = 0.5

Model1 Macro-F1 = 0.22145
Model2 Macro-F1 = 0.22913

ΔF1 one-sided lower 95% bound = 0.0051
one-sided p(Model2>Model1) = 0.0000 -> significant at α=0.05

Per-label McNemar (FDR-corrected): label_index, p_adj, significant
Self-direction: thought, 0.1635, False
Self-direction: action, 0.0190, True
Stimulation, 0.0010, True
Hedonism, 0.0531, False
Achievement, 0.0000, True
Power: dominance, 0.2833, False
Power: resources, 0.0295, True
Face, 0.2833, False
Security: personal, 0.0014, True
Security: societal, 0.0000, True
Tradition, 0.0295, True
Conformity: rules, 0.0000, True
Conformity: interpersonal, 0.1635, False
Benevolence: caring, 0.5312, False
Universalism: concern, 0.1635, False
Universalism: nature, 0.0014, True
Universalism: tolerance, 1.0000, False
