Model1 = ../approaches/llm_moral-values/output/definition/google-gemma-2-9b-it-test.tsv
Model1 Threshold = 0.5
Model2 = ../approaches/llm_moral-values/output/definition-20/google-gemma-2-9b-it-test.tsv
Model2 Threshold = 0.5

Model1 Macro-F1 = 0.22145
Model2 Macro-F1 = 0.23259

ΔF1 one-sided lower 95% bound = 0.0050
one-sided p(Model2>Model1) = 0.0010 -> significant at α=0.05

Per-label McNemar (FDR-corrected): label_index, p_adj, significant
Self-direction: thought, 0.5087, False
Self-direction: action, 0.0061, True
Stimulation, 0.0169, True
Hedonism, 0.1007, False
Achievement, 0.0816, False
Power: dominance, 0.6420, False
Power: resources, 0.0000, True
Face, 0.0000, True
Security: personal, 0.6420, False
Security: societal, 0.0000, True
Tradition, 1.0000, False
Conformity: rules, 0.0103, True
Conformity: interpersonal, 0.0118, True
Benevolence: caring, 0.0001, True
Benevolence: dependability, 0.0156, True
Universalism: concern, 0.1007, False
Universalism: nature, 0.1007, False
Universalism: tolerance, 0.0000, True
