Model1 = ../approaches/llm_moral-values/output/growth_definition-12/google-gemma-2-9b-it-test.tsv
Model1 Threshold = 0.5
Model2 = ../approaches/llm_moral-values/output/growth_definition-12/google-gemma-2-9b-it-gated_Growth Anxiety-Free-test.tsv
Model2 Threshold = 0.5

Model1 Macro-F1 = 0.19094
Model2 Macro-F1 = 0.19351

ΔF1 one-sided lower 95% bound = -0.0042
one-sided p(Model2>Model1) = 0.2735 -> not significant at α=0.05

Per-label McNemar (FDR-corrected): label_index, p_adj, significant
Self-direction: thought, 0.0002, True
Self-direction: action, 0.0000, True
Stimulation, 0.0000, True
Hedonism, 0.0000, True
Achievement, 0.0000, True
Benevolence: caring, 0.0000, True
Benevolence: dependability, 0.0039, True
Universalism: concern, 0.0000, True
Universalism: nature, 0.0000, True
Universalism: tolerance, 0.0005, True
