Model1 = ../approaches/llm_moral-values/output/growth_definition/google-gemma-2-9b-it-gated_Growth Anxiety-Free-test.tsv
Model1 Threshold = 0.5
Model2 = ../approaches/ensembles/llm/growth/fixed-hard-champion-test.tsv
Model2 Threshold = 0.5

Model1 Macro-F1 = 0.19218
Model2 Macro-F1 = 0.20128

ΔF1 one-sided lower 95% bound = 0.0025
one-sided p(Model2>Model1) = 0.0145 -> significant at α=0.05

Per-label McNemar (FDR-corrected): label_index, p_adj, significant
Self-direction: thought, 0.3125, False
Self-direction: action, 0.0000, True
Stimulation, 0.0010, True
Hedonism, 0.3125, False
Achievement, 0.0000, True
Benevolence: caring, 1.0000, False
Benevolence: dependability, 0.1823, False
Universalism: concern, 0.0000, True
Universalism: nature, 0.0000, True
Universalism: tolerance, 0.5035, False
