Model1 = ../approaches/llm_moral-values/output/growth_definition/google-gemma-2-9b-it-test.tsv
Model1 Threshold = 0.5
Model2 = ../approaches/llm_moral-values/output/growth_definition-12/google-gemma-2-9b-it-test.tsv
Model2 Threshold = 0.5

Model1 Macro-F1 = 0.18264
Model2 Macro-F1 = 0.19094

ΔF1 one-sided lower 95% bound = 0.0005
one-sided p(Model2>Model1) = 0.0450 -> significant at α=0.05

Per-label McNemar (FDR-corrected): label_index, p_adj, significant
Self-direction: thought, 0.3217, False
Self-direction: action, 0.0605, False
Stimulation, 0.6066, False
Hedonism, 0.0149, True
Achievement, 0.0000, True
Humility, 1.0000, False
Benevolence: caring, 0.0000, True
Benevolence: dependability, 0.0973, False
Universalism: concern, 0.0000, True
Universalism: nature, 0.0000, True
Universalism: tolerance, 0.0000, True
