Model1 = ../approaches/llm_moral-values/output/growth_definition/google-gemma-2-9b-it-gated_Growth Anxiety-Free-test.tsv
Model1 Threshold = 0.5
Model2 = ../approaches/llm_moral-values/output/growth_qlora/google-gemma-2-9b-it-gated_Growth Anxiety-Free-test.tsv
Model2 Threshold = 0.5

Model1 Macro-F1 = 0.19218
Model2 Macro-F1 = 0.13155

ΔF1 one-sided lower 95% bound = -0.0771
one-sided p(Model2>Model1) = 1.0000 -> not significant at α=0.05

Per-label McNemar (FDR-corrected): label_index, p_adj, significant
Self-direction: thought, 0.0003, True
Self-direction: action, 0.0000, True
Stimulation, 0.0109, True
Hedonism, 0.0235, True
Achievement, 0.0000, True
Humility, 1.0000, False
Benevolence: caring, 0.0000, True
Benevolence: dependability, 0.5966, False
Universalism: concern, 0.0000, True
Universalism: nature, 0.0000, True
Universalism: tolerance, 0.0008, True
