Model1 = ../approaches/llm_moral-values/output/self-protection_definition/google-gemma-2-9b-it-test.tsv
Model1 Threshold = 0.5
Model2 = ../approaches/llm_moral-values/output/self-protection_definition/google-gemma-2-9b-it-gated_Self-Protection Anxiety-Avoidance-test.tsv
Model2 Threshold = 0.5

Model1 Macro-F1 = 0.20393
Model2 Macro-F1 = 0.20915

ΔF1 one-sided lower 95% bound = -0.0045
one-sided p(Model2>Model1) = 0.1685 -> not significant at α=0.05

Per-label McNemar (FDR-corrected): label_index, p_adj, significant
Achievement, 0.0000, True
Power: dominance, 0.0000, True
Power: resources, 0.0000, True
Face, 0.0000, True
Security: personal, 0.0000, True
Security: societal, 0.0000, True
Tradition, 0.0000, True
Conformity: rules, 0.0000, True
Conformity: interpersonal, 0.0005, True
Humility, 1.0000, False
