Model1 = ../approaches/llm_moral-values/output/social-focus_definition-11/google-gemma-2-9b-it-test.tsv
Model1 Threshold = 0.5
Model2 = ../approaches/ensembles/llm/social-focus/fixed-hard-champion-test.tsv
Model2 Threshold = 0.5

Model1 Macro-F1 = 0.23030
Model2 Macro-F1 = 0.26669

ΔF1 one-sided lower 95% bound = 0.0269
one-sided p(Model2>Model1) = 0.0000 -> significant at α=0.05

Per-label McNemar (FDR-corrected): label_index, p_adj, significant
Security: societal, 0.2029, False
Tradition, 0.0151, True
Conformity: rules, 0.0000, True
Conformity: interpersonal, 0.0000, True
Humility, 1.0000, False
Benevolence: caring, 0.0001, True
Benevolence: dependability, 0.0000, True
Universalism: concern, 0.0510, False
Universalism: nature, 0.0000, True
Universalism: tolerance, 1.0000, False
