Model1 = ../approaches/ensembles/llm/social-focus/fixed-hard-champion-test.tsv
Model1 Threshold = 0.5
Model2 = ../approaches/moral-values/output/Baseline-test.tsv
Model2 Threshold = 0.3

Model1 Macro-F1 = 0.26669
Model2 Macro-F1 = 0.32989

ΔF1 one-sided lower 95% bound = 0.0448
one-sided p(Model2>Model1) = 0.0000 -> significant at α=0.05

Per-label McNemar (FDR-corrected): label_index, p_adj, significant
Security: societal, 0.0616, False
Tradition, 0.8752, False
Conformity: rules, 0.0616, False
Conformity: interpersonal, 0.0421, True
Humility, 1.0000, False
Benevolence: caring, 0.0024, True
Benevolence: dependability, 0.0001, True
Universalism: concern, 0.0000, True
Universalism: nature, 0.2191, False
Universalism: tolerance, 0.1263, False
