Word,total_occurrences,misclassified_occurrences,misclassification_percentage
gendarmerie,1,1,100.0
grameen,1,1,100.0
microfinance,1,1,100.0
tgmp,1,1,100.0
poetry,1,1,100.0
epics,1,1,100.0
bosom,2,2,100.0
tomato,1,1,100.0
tailoring,1,1,100.0
433,1,1,100.0
vacancies,1,1,100.0
iskur,1,1,100.0
699,1,1,100.0
housings,2,2,100.0
activityradioactivity,1,1,100.0
weightwere,1,1,100.0
coolant,2,2,100.0
barrister,1,1,100.0
activism,5,5,100.0
conception,2,2,100.0
motherhood,2,2,100.0
populist,2,2,100.0
travelled,1,1,100.0
eyebrows,1,1,100.0
waiver,3,3,100.0
radioactivity,4,4,100.0
rod,3,3,100.0
gajewska,1,1,100.0
pondered,1,1,100.0
foetus,1,1,100.0
alcoholism,1,1,100.0
remark,2,2,100.0
predictable,1,1,100.0
jokes,1,1,100.0
helpful,1,1,100.0
tung,2,2,100.0
statue,1,1,100.0
kin,1,1,100.0
presiding,2,2,100.0
ekonomu,1,1,100.0
aclj,2,2,100.0
aleksandra,1,1,100.0
rector,1,1,100.0
aabs,1,1,100.0
ihls,1,1,100.0
inoculation,2,2,100.0
benefiting,1,1,100.0
depressed,1,1,100.0
installations,1,1,100.0
30th,1,1,100.0
ossified,1,1,100.0
karmically,1,1,100.0
positioned,1,1,100.0
stationary,2,2,100.0
journeys,1,1,100.0
şehit,1,1,100.0
halisdemir,1,1,100.0
176,1,1,100.0
523,1,1,100.0
extremes,1,1,100.0
masculine,1,1,100.0
feminine,1,1,100.0
transcending,1,1,100.0
psychology,1,1,100.0
overlapped,1,1,100.0
morgues,1,1,100.0
newborn,1,1,100.0
fatalities,1,1,100.0
305,1,1,100.0
518,1,1,100.0
1039,1,1,100.0
393,1,1,100.0
1801,1,1,100.0
sham,1,1,100.0
latif,1,1,100.0
harun,1,1,100.0
pişkin,1,1,100.0
ertan,1,1,100.0
yiğit,1,1,100.0
uyar,1,1,100.0
aytekin,1,1,100.0
fairy,1,1,100.0
chimneys,1,1,100.0
rubble,1,1,100.0
summits,1,1,100.0
cede,1,1,100.0
compulsorily,1,1,100.0
hayat,1,1,100.0
tahriri,1,1,100.0
barking,1,1,100.0
packed,2,2,100.0
lector,1,1,100.0
tkdk,1,1,100.0
cağ,1,1,100.0
kebab,1,1,100.0
gem,1,1,100.0
narman,1,1,100.0
esteemed,1,1,100.0
